smiles,150-10,200-10,300-10,150-20,200-20,300-20
Nc1ccc2[nH]ccc2c1,0.38,0.35,0.30,0.43,0.41,0.32
CCOC(=O)C1=CC=C(C=C1)I,0.57,0.48,0.45,0.62,0.48,0.37
O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],0.70,0.66,0.71,0.75,0.71,0.76
O=C(N1O)C2=CC=CC=C2C1=O,0.65,0.66,0.70,0.73,0.73,0.77
Cc1cc(O)cc(C)c1C,0.84,0.83,0.89,0.87,0.87,0.92
OC1CCCC2=C1C=CC=C2,0.77,0.77,0.79,0.88,0.87,0.88
C1OC2=C(O1)C=C(C=C2)O,0.33,0.81,0.84,0.53,0.88,0.88
O=C(O)C1=CC(N)=CC(N)=C1,0.52,0.53,0.55,0.67,0.65,0.65
C#Cc1ccccc1,0.15,0.04,0.11,0.20,0.13,0.11
O=C(OC)C1=CC=C(C(OC)=O)C=C1N,0.76,0.72,0.77,0.80,0.77,0.81
C1=CC(=CC2=C1C=CN2)Cl,0.44,0.41,0.39,0.49,0.44,0.39
O=C(OC)C1=CC=C(C(OC)=O)C=C1N,0.84,0.85,0.89,0.87,0.88,0.91
OCCC1=C2C=CC=CC2=CC3=CC=CC=C13,0.98,0.99,0.97,0.98,0.98,0.96
CN1C(CCC1)C2=CN=CC=C2,0.99,0.99,0.97,0.99,0.99,0.98
COC1=CC=CC=C1C,0.52,0.38,0.54,0.64,0.48,0.66
OS(C1=CC=C(C=C1)/N=N/C2=CC=C(C=C2)N(C)C)(=O)=O,1.00,1.00,1.00,1.00,1.00,1.00
C=C(N)NC1=C2C=CC=CC2=CC=C1,1.00,1.00,1.00,1.00,1.00,1.00
CC(C(C1=CC=CC=C1)O)N(C)C,1.00,1.00,1.00,1.00,1.00,1.00
C1(C2=CC=NC=C2)=CC=NC=C1,0.76,0.72,0.69,0.85,0.83,0.78
Oc1cccc(c1)[N+]([O-])=O,0.47,0.44,0.50,0.64,0.56,0.60
OC1=CC=CC([N+]([O-])=O)=C1,0.26,0.25,0.22,0.40,0.31,0.33
O=CC1=CC=C([N+]([O-])=O)C=C1,0.29,0.12,-0.11,0.22,0.15,-0.02
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,0.96,0.96,0.98,0.97,0.97,0.98
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1.00,1.00,1.00,1.00,1.00,1.00
N[C@H](C1=CC=CC=C1)CO,0.83,0.81,0.82,0.87,0.87,0.89
CC1=C(C(=CC=C1)C)Br,0.56,0.54,0.63,0.73,0.71,0.73
O=CC1=CC(C)=CC(C)=C1,0.73,0.69,0.72,0.79,0.79,0.78
NC1=C2N=CC=CC2=CC=C1,0.20,0.02,0.06,0.45,0.42,0.45
C1=CC(=C(C=C1Br)C(=O)O)N,0.89,0.85,0.90,0.90,0.86,0.90
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0.71,0.56,0.73,0.81,0.70,0.83
CC1=C(OC)C=C(C)C(Br)=C1,0.99,0.98,0.97,0.99,0.99,0.98
CCC1=C(C2=CC=C(Cl)C=C2)C(N)=NC(N)=N1,0.97,0.95,0.98,0.98,0.97,0.99
CCC1=C(C2=CC=C(Cl)C=C2)C(N)=NC(N)=N1,0.93,0.99,0.99,0.97,1.00,0.99
OC1=CC2=CC=C(O)C=C2C=C1,0.71,0.68,0.67,0.75,0.78,0.79
OCCN(C1=NC2=C(C(N3CCCCC3)=N1)N=C(N(CCO)CCO)N=C2N4CCCCC4)CCO,1.00,1.00,1.00,1.00,1.00,1.00
C1COC2=C(O1)C=CC(=C2)Br,0.41,0.35,0.32,0.46,0.38,0.32
BrC1=CC=CC=C1Br,0.81,0.80,0.82,0.87,0.88,0.85
OC(=O)CCCCC1SCC2NC(=O)NC12,0.90,0.88,0.91,0.92,0.91,0.92
Cc1cccc(Br)c1,0.36,0.32,0.33,0.54,0.53,0.56
Nc1cccc(O)c1,0.33,0.31,0.31,0.32,0.28,0.28
N[C@H](C)C1CCCCC1,0.96,0.94,0.98,0.97,0.97,0.98
CC(C)(C)OC(=O)N1CCC(C1)C(=O)O,0.41,0.27,0.58,0.57,0.39,0.54
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)O,1.00,1.00,1.00,0.99,0.99,1.00
O=C(O)C1=CN=CC=C1,0.23,0.22,0.25,0.26,0.24,0.26
CN1C(C(NC2=CC=CC=N2)=O)=C(C3=C(S1(=O)=O)C=CS3)O,1.00,1.00,1.00,1.00,1.00,1.00
CCCC(CO1)OC1(C2=C(Cl)C=C(Cl)C=C2)CN3N=CN=C3,0.98,0.98,0.96,0.99,0.99,0.98
NC1=CC=CC([N+]([O-])=O)=C1C,0.60,0.57,0.55,0.73,0.72,0.65
C1=CC(=C(C(=C1)O)N)[N+](=O)[O-],0.57,0.92,0.92,0.72,0.95,0.94
Nc1cccc2ncccc12,0.68,0.67,0.70,0.78,0.78,0.81
C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C(=O)O,0.80,0.80,0.81,0.87,0.87,0.85
CC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C,0.62,0.41,0.58,0.63,0.45,0.45
CN1C=CC2=C1C=CC(=C2)Br,0.51,0.46,0.43,0.59,0.50,0.44
C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)N)N,0.88,0.88,0.92,0.93,0.93,0.95
O=C(C1=CC=C(O)C=C1)C2=CC=C(O)C=C2,0.90,0.89,0.93,0.94,0.94,0.95
O=C(NC1=C(C)C=CC=C1)C(C)(C)C,0.98,0.98,0.99,0.99,0.99,0.99
NCCC1=CNC2=CC=CC=C12,0.96,0.96,0.92,0.96,0.96,0.92
COC1=CC(C2=CC=CC(OC)=C2)=CC=C1,0.59,0.49,0.45,0.72,0.71,0.67
C1CC(=O)NC1,0.33,0.32,0.27,0.02,-0.24,-0.11
NC(C)C1=CC=CC=C1,0.53,0.51,0.55,0.60,0.56,0.61
BrC1=CC=C(C(OC)=O)C=C1,0.37,0.40,0.39,0.49,0.51,0.53
COC(=O)C1=CC=C(C=C1)I,0.33,0.21,0.33,0.48,0.36,0.47
N#CC1=CC=C([N+]([O-])=O)C=C1,0.36,0.83,0.84,0.58,0.90,0.89
CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,1.00,1.00,1.00,1.00,1.00,1.00
O=CC1=CC=C(C)O1,0.23,0.19,0.19,0.18,0.22,0.23
CC1=CC=C(NC2=CC=C(C)C=C2)C=C1,0.56,0.56,0.64,0.67,0.71,0.77
COC1=CC(OC)=CC(OC)=C1,0.71,0.68,0.69,0.79,0.74,0.76
COC1=CC(OC)=CC(OC)=C1,1.00,1.00,1.00,1.00,1.00,1.00
OC(=O)c1ccc(cc1)[N+]([O-])=O,0.93,0.93,0.93,0.95,0.95,0.96
BrCC1=CC=C(C=C1)CBr,0.48,0.42,0.37,0.55,0.50,0.40
N#CC1=CC=C(C#N)C=C1,0.26,0.12,0.14,0.48,0.47,0.49
BrC1=CN=C(Br)C=C1,0.20,0.12,0.20,0.29,0.24,0.35
Cc1ccc(I)cc1,0.40,0.30,0.24,0.38,0.43,0.45
CC1=CC=C(C=C1)I,0.13,0.05,0.38,0.28,0.12,0.25
IC1=CC=C(I)C=C1,0.36,0.40,0.47,0.37,0.41,0.50
IC1=CC=C(I)C=C1,0.49,0.44,0.51,0.65,0.56,0.60
CCOC1=CC=C(C=C1)NC(C)=O,0.79,0.77,0.79,0.84,0.82,0.84
C1=CC=C(C=C1)N,0.13,0.13,0.08,0.26,0.18,0.20
IC1=CC(I)=CC=C1,0.48,0.40,0.35,0.51,0.54,0.56
C1=CC=C2C(=C1)C3=C(N2)C=CC(=C3)Br,0.73,0.71,0.69,0.79,0.73,0.70
IC1=CC(I)=CC=C1,0.39,0.36,0.39,0.44,0.41,0.44
BrC1=CC=CC(Br)=N1,0.15,-0.01,0.03,0.35,0.33,0.37
NC1=CC=C(OC)C(OC)=C1,0.59,0.59,0.51,0.78,0.78,0.73
OC1CCC2=C1C=CC=C2,0.82,0.80,0.74,0.85,0.85,0.75
CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2,0.99,0.99,0.99,0.99,0.99,0.99
O=[N+](C1=CC=C(I)C=C1)[O-],0.23,0.22,0.20,0.32,0.30,0.24
NC1=CC(C)=C(N)C=C1C,1.00,1.00,1.00,1.00,1.00,1.00
CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C,1.00,1.00,1.00,1.00,1.00,1.00
N#CC1=CC(F)=CC(F)=C1,0.51,0.54,0.61,0.58,0.59,0.66
N#CC1=CC(F)=CC(F)=C1,0.58,0.54,0.52,0.60,0.57,0.47
OC1=CC=CC2=C1C(C3=C(O)[C@@](C(C(C(N)=O)=C(O)[C@H]4N(C)C)=O)(O)[C@@]4([H])C[C@]3([H])[C@@]2(O)C)=O,0.83,0.95,0.85,0.85,0.97,0.84
O=C(O)c1ccccc1,0.63,0.62,0.64,0.70,0.70,0.72
CN/C(NCCSCC1=CC=C(O1)CN(C)C)=C\[N+]([O-])=O,0.99,0.99,1.00,0.98,1.00,0.99
OCCC1=C(C)[N+](CC2=CN=C(C)N=C2N)=CS1,1.00,1.00,1.00,1.00,1.00,1.00
C1(C2=CC=CC=C2)=NC=CN1,0.82,0.84,0.86,0.89,0.89,0.91
C1CCC(CC1)N2CCCC2=O,0.95,0.92,0.93,0.97,0.94,0.94
C1=CC(=CC(=C1)I)C#N,0.21,0.10,0.43,0.37,0.19,0.34
COc1ccc(I)cc1,0.21,0.15,0.24,0.17,0.03,0.08
COC1=CC=C(C=C1)I,0.10,0.02,0.35,0.24,0.09,0.21
C1CC2=CC=CC=C2C1O,0.48,0.35,0.47,0.60,0.48,0.58
O[C@@H]1CCC2=C1C=CC=C2,0.77,0.77,0.71,0.89,0.89,0.82
CC1=CC(=C(C(=C1)O)C)C,0.64,0.50,0.65,0.76,0.65,0.75
O=C(O)C1=CC(SSC2=CC=C([N+]([O-])=O)C(C(O)=O)=C2)=CC=C1[N+]([O-])=O,0.97,0.97,0.93,0.97,0.97,0.93
CN(C)C1=CC=CC=C1Br,0.64,0.63,0.71,0.74,0.77,0.82
CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,1.00,1.00,1.00,1.00,1.00,1.00
C1=C(NC(=O)N=C1)N,0.62,0.58,0.62,0.70,0.65,0.66
c1ccc(-c2nc3ccccc3[nH]2)cc1,0.89,0.88,0.83,0.91,0.89,0.82
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,0.98,0.99,0.94,0.98,0.99,0.95
O=C1N(C)CCCN1C,0.48,0.37,0.36,0.68,0.67,0.64
O=C1N(C)CCCN1C,0.68,0.62,0.61,0.73,0.74,0.76
CC1=CC(NS(=O)(C2=CC=C(C=C2)N)=O)=NO1,1.00,1.00,1.00,1.00,1.00,1.00
CC1=CC(NS(=O)(C2=CC=C(C=C2)N)=O)=NO1,0.88,0.98,0.97,0.91,0.99,0.98
C1=NC2=NC=NC(=C2N1)N,0.36,0.33,0.35,0.41,0.39,0.38
CCN1C=C(C(C2=CC(F)=C(N3CCNCC3)N=C12)=O)C(O)=O,1.00,1.00,1.00,1.00,1.00,1.00
CC1=CC(=CC(=C1N)C)C#N,0.62,0.48,0.65,0.75,0.62,0.78
CC1=CC(=C(C(=C1)C)C(=O)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3)C,1.00,1.00,1.00,1.00,1.00,1.00
Cc1cc(O)c(C(C)C)cc1C1(c2cc(C(C)C)c(O)cc2C)OS(=O)(=O)c2ccccc21,1.00,1.00,1.00,1.00,1.00,1.00
C#Cc1ccc(C)cc1,0.46,0.90,0.89,0.64,0.94,0.92
NC12CC3CC(CC(C3)C1)C2,0.90,0.84,0.93,0.91,0.87,0.94
C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,0.42,0.36,0.58,0.50,0.39,0.48
CN/C(NCCSCC1=CSC(CN(C)C)=N1)=C\[N+]([O-])=O,0.99,0.99,0.99,1.00,0.99,0.99
OC1=C(O)C=C2C(C(C)(C)CC23C(C=C(O)C(O)=C4)=C4C(C)(C)C3)=C1,1.00,1.00,1.00,1.00,1.00,1.00
NC1=CC=CC2=C(N)C=CC=C12,0.94,0.90,0.96,0.96,0.93,0.96
NC1=CC=CC2=C(N)C=CC=C12,0.87,0.86,0.73,0.81,0.84,0.62
NC1=CC(F)=C(F)C=C1[N+]([O-])=O,0.47,0.41,0.41,0.44,0.38,0.31
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,1.00,1.00,1.00,1.00,1.00,1.00
OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O,1.00,1.00,1.00,1.00,1.00,1.00
C[C@@H]1[C@@H](O[C@H]2[C@H](O)[C@@H](N(C)C)C[C@@H](C)O2)[C@](C)(O)C[C@@H](C)/C([C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC([C@H](C)[C@H]1O[C@@H]3O[C@@H](C)[C@H](O)[C@](C)(OC)C3)=O)=N\OCOCCOC,1.00,1.00,1.00,1.00,1.00,1.00
C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)/C,1.00,1.00,1.00,1.00,1.00,1.00
O=C1N[S](=O)(=O)c2ccccc12,1.00,1.00,1.00,1.00,1.00,1.00
C1CC=CC(C1)O,0.42,0.34,0.30,0.49,0.35,0.25
Clc1cccc2C(=O)c3cccc(Cl)c3C(=O)c12,0.87,0.88,0.90,0.93,0.93,0.94
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C,0.99,0.99,0.99,0.99,0.99,0.99
O=C(C1=CC=C2C=C(C(OC)=O)C=CC2=C1)OC,-0.08,-0.22,-0.03,0.48,0.48,0.48
O=C(C1=C(C=CC=C1)/N=N/C2=CC=C(C=C2)N(C)C)O,0.96,0.94,0.93,0.97,0.97,0.95
O=C(C1=C(F)C(F)=C(F)C(F)=C1F)C2=C(F)C(F)=C(F)C(F)=C2F,1.00,1.00,1.00,1.00,1.00,1.00
O=C(N1)C2=CC=CC=C2C1=O,0.46,0.47,0.47,0.64,0.62,0.64
[O-][N+](=O)c1cccc2ccccc12,0.34,0.27,0.25,0.41,0.37,0.27
C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],0.46,0.44,0.43,0.61,0.52,0.55
c1ccc2c(c1)Cc1ccccc1-2,0.56,0.57,0.61,0.68,0.69,0.73
N#CC1=CC=C(N)C=C1,0.26,0.26,0.22,0.39,0.30,0.31
N#CC1=CC=C(N)C=C1,0.35,0.31,0.27,0.45,0.42,0.32
C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,1.00,1.00,1.00,1.00,1.00,1.00
O=C1NC2=C(C=C(Br)C=C2)C1=O,0.90,0.91,0.86,0.94,0.94,0.91
Oc1c(Cl)cc(Cl)cc1Cl,0.58,0.54,0.59,0.59,0.53,0.58
CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,0.99,1.00,1.00,1.00,1.00,1.00
NC(=O)c1ccccc1N,0.46,0.47,0.49,0.62,0.60,0.61
C1=CC=C(C(=C1)C(=O)N)N,0.54,0.60,0.67,0.59,0.64,0.72
CC1=CC=CC=C1[N+](=O)[O-],0.32,0.30,0.29,0.43,0.39,0.34
[O-][N+](=O)c1ccccc1Cl,0.25,0.24,0.35,0.44,0.41,0.45
C1=CC=C(C(=C1)[N+](=O)[O-])Cl,0.39,0.88,0.87,0.58,0.93,0.91
Oc1ccccc1[N+]([O-])=O,0.27,0.27,0.25,0.34,0.34,0.38
OC1=CC=CC=C1[N+]([O-])=O,0.28,0.26,0.24,0.36,0.33,0.26
CC1=CC(O)=C(C(C)C)C=C1,0.93,0.93,0.91,0.93,0.96,0.94
CC1=CC=CC2=CC=CC=C12,0.63,0.57,0.58,0.70,0.64,0.61
CCC(C1=CC=CC=C1)C(=O)O,0.78,0.59,0.77,0.78,0.64,0.63
CCC(C(=O)O)c1ccccc1,0.89,0.88,0.82,0.92,0.91,0.82
OC1=CC=CC=C1C2=CC=CC=C2,0.86,0.86,0.81,0.88,0.89,0.82
OC(C(O)=O)C1=CC=CC=C1,0.80,0.98,0.98,0.85,0.99,0.99
O=C(O)[C@H]1NC[C@H](C2CCCCC2)C1,0.98,0.98,0.99,0.98,0.98,0.94
COC1=CC=CC=C1OC,0.48,0.45,0.49,0.55,0.50,0.55
O=C1OC2=C(C=CC(N(CC)CC)=C2)C(C)=C1,0.97,0.97,0.97,0.98,0.99,0.99
NC1=NC(N)=NC(C2=CC=CC=C2)=N1,0.49,0.44,0.42,0.65,0.67,0.64
C(C1=C(C(=C(C(=C1F)F)CO)F)F)O,0.72,0.71,0.76,0.82,0.82,0.81
OC1=C(O)C=C2C=CC=CC2=C1,0.65,0.66,0.70,0.76,0.78,0.79
OC1=C(O)C=C2C=CC=CC2=C1,0.81,0.79,0.84,0.83,0.87,0.90
CC(C)OC(=O)CCC(=O)OC(C)C,0.91,0.78,0.89,0.94,0.91,0.92
c1ccc(-c2ccccc2)cc1,0.23,0.19,0.14,0.30,0.29,0.22
C1CC=CC(=O)C1,0.31,0.22,0.30,0.44,0.32,0.41
CC(C1=CC=C2C=CC=CC2=C1)=O,0.77,0.75,0.69,0.74,0.74,0.66
C#CC1=CC=C(C=C1)C#C,0.30,0.20,0.32,0.44,0.31,0.42
CCC(C1=CC=CC=C1)=O,0.48,0.42,0.48,0.64,0.54,0.58
C1=CC=C(C=C1)C(CO)O,0.54,0.48,0.46,0.59,0.46,0.35
CN(C=O)C1=CC=CC=C1,0.34,0.34,0.32,0.45,0.45,0.48
CC[C@@H](C(=O)O)c1ccccc1,0.96,0.96,0.97,0.98,0.97,0.98
O=C(N1C2=CC=CC=C2)C=CC1=O,0.52,0.49,0.53,0.58,0.54,0.59
C1=CC=C(C(=C1)Cl)Cl,0.37,0.32,0.32,0.44,0.38,0.34
C1=CC=C(C(=C1)N)Cl,0.23,0.19,0.20,0.27,0.23,0.20
OC1=CC=CC=C1N,0.47,0.43,0.44,0.42,0.37,0.35
CC1=CC(=C(C=C1)C)C,0.48,0.32,0.48,0.58,0.40,0.57
NC1=CC=C(Cl)C(Cl)=C1,0.36,0.31,0.33,0.35,0.26,0.30
NC1=CC(C)=CC=C1C,0.68,0.62,0.62,0.76,0.72,0.69
OC1=CC(C)=CC=C1C,0.36,0.25,0.55,0.51,0.35,0.49
OC1=CC(C)=CC=C1C,0.52,0.64,0.63,0.61,0.76,0.73
C1=CC(=CN=C1)C(=O)N,0.35,0.26,0.34,0.50,0.40,0.50
O=C1NC2=C(C=CC(Br)=C2)C1,0.82,0.82,0.76,0.89,0.90,0.85
COc1ccc(cc1N)[N+]([O-])=O,0.31,0.31,0.32,0.51,0.47,0.52
CC(=O)c1ccc(Br)cc1,0.48,0.43,0.49,0.64,0.56,0.60
CC1=CC=C(C=C1)[N+](=O)[O-],0.16,0.08,0.15,0.29,0.19,0.27
C1C=CC=C(OC2=CC=C(S(=O)(=O)C3C=CC(OC4=CC=CC=C4)=CC=3)C=C2)C=1,1.00,1.00,1.00,1.00,1.00,1.00